SMILES,InChIKey,AromaticRingCount,HBondDonorCount,HBondAcceptorCount,FractionCarbonSP3,HeteroatomCount,HeterocycleCount,RotatableBondCount,MolecularMass,DegreeOfUnsaturation,MinEllipsoidLength,MaxDistance,LongestPiChain,LinkerLength,MaxAbsorbanceWavelength,MaxAbsorbanceWavelength_1,MolecularMass,MaxAbsorbanceWavelength
CC1=C/C(=C(/c2cc(C)c([O-])c(C(=O)[O-])c2)c2ccccc2S(=O)(=O)O)C=C(C(=O)[O-])C1=O,KXOWVZNVTQLQPD-XMHGGMMESA-K,2,1,8,0.086956522,10,0,5,467,18,97,11,10,2,500.5029863,501,467,500.5029863
CC1=CC(=C(c2cc(C)c([O-])c(C(=O)[O-])c2)c2ccccc2S(=O)(=O)O)C=C(C(=O)[O-])C1=O,KXOWVZNVTQLQPD-UHFFFAOYSA-K,2,1,8,0.086956522,10,0,5,467,18,83,11,10,2,480.1956869,480,467,480.1956869
CCN1C(=CC=CC2=[N+](CC)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,RHCLJBKXGJHOCN-UHFFFAOYSA-M,2,0,7,0.37037037,10,2,6,544,14,362,19,14,4,572.2782521,572,544,572.2782521
C#CCN=C(O)CCCCC[N+]1=C(C=CC=CC=C2N(C)c3ccc(S(=O)(=O)O)cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,OMSGSPNJNVQTSN-UHFFFAOYSA-N,2,2,7,0.371428571,12,2,12,680,17,886,22,16,6,681.1854749,681,680,681.1854749
CC1(C)C(C=CC2=C(NCCCN=[N+]=[N-])/C(=C/C=C3/N(CCCCS(=O)(=O)[O-])c4ccccc4C3(C)C)CC2)=[N+](CCCCS(=O)(=O)O)c2ccccc21,XEWMTEFQJKJRAZ-TXRIKVQFSA-N,2,2,8,0.475,14,2,18,777,18,495,21,18,3,705.9428046,706,777,705.9428046
C#CCNC1=C(C=CC2=[N+](CCCCS(=O)(=O)O)c3ccccc3C2(C)C)CC/C1=C\C=C1\N(CCCCS(=O)(=O)[O-])c2ccccc2C1(C)C,YNKZQYLIDKIPBB-GBYGALLISA-N,2,2,7,0.425,11,2,15,732,18,549,20,18,3,712.6271625,713,732,712.6271625
CC1(C)C(=CC=CC=CC2=[N+](CCCS(=O)(=O)[O-])c3ccc(S(=O)(=O)[O-])cc3C2(C)C)N(CCCCCC([O-])=NCCCN=[N+]=[N-])c2ccc(S(=O)(=O)O)cc21,DUWZWZJMKCNGSI-UHFFFAOYSA-L,2,1,12,0.459459459,19,2,19,831,19,1317,25,16,6,676.9404449,677,831,676.9404449
CCN1C(=CC=CC=CC2=[N+](CCCCCC(=O)[O-])c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)O)ccc21,HPICMEGAGMPYID-UHFFFAOYSA-M,2,1,8,0.393939394,12,2,12,656,16,724,21,16,6,683.7698457,684,656,683.7698457
c1ccc(Oc2c3c(cc4ccccc24)C2=NC3=NC3(Oc4ccccc4)N=C(N=C4N=C(c5c4c(Oc4ccccc4)c4ccccc4c5Oc4ccccc4)N(Oc4ccccc4)C4=NC(=N2)c2cc5ccccc5c(Oc5ccccc5)c24)c2c3c(Oc3ccccc3)c3ccccc3c2Oc2ccccc2)cc1,CUMJCHXGZQIUNU-UHFFFAOYSA-N,16,0,16,0.010416667,16,5,16,1452,72,266,20,26,2,625.6473514,626,1452,625.6473514
CC1(C)C(=CC=CC=CC2=[N+](CCCCCC(=O)ON3C(=O)CCC3=O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)N(CCCCCC(=O)ON2C(=O)CCC2=O)c2ccc(S(=O)(=O)[O-])cc21,MGIODCZGPVDROX-UHFFFAOYSA-M,2,0,15,0.444444444,20,4,19,936,23,1292,25,16,6,663.3227079,663,936,663.3227079
CC1(C)C(=CC=CC=CC2=[N+](CCCS(=O)(=O)[O-])c3ccccc3C2(C)C)N(CCCCCC(=O)ON2C(=O)CCC2=O)c2ccccc21,ULMQWLBXZOBKDA-UHFFFAOYSA-N,2,0,8,0.421052632,11,3,14,688,18,727,19,16,6,668.4719456,668,688,668.4719456
C#CCN=C([O-])CCCCCN1C(=CC=C2C=C(C=CC3=[N+](C)c4ccccc4C3(C)C)CCC2)C(C)(C)c2ccccc21,ODTCCTFHIJRHRC-UHFFFAOYSA-N,2,0,3,0.4,4,2,10,586,19,664,21,18,3,716.1712217,716,586,716.1712217
CC1(C)C(=CC=CC=CC2=[N+](CCCS(=O)(=O)[O-])c3ccc(S(=O)(=O)[O-])cc3C2(C)C)N(CCCCCC(=O)ON2C(=O)CCC2=O)c2ccc(S(=O)(=O)[O-])cc21,MBAJQBXOZFYCPR-UHFFFAOYSA-L,2,0,14,0.421052632,19,3,16,846,20,567,21,16,6,684.8310363,685,846,684.8310363
CCN1C(=CC=C2CCCC(C=CC3=[N+](CC)c4ccc5ccccc5c4C3(C)C)=C2Cl)C(C)(C)c2c1ccc1ccccc21,OYVKEIIHSIVUMC-UHFFFAOYSA-N,4,0,1,0.30952381,3,2,5,612,21,930,21,22,3,795.550641,796,612,795.550641
C#CCN=C(O)CCCCCN1C(=CC=CC2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,ZAEMCWBMKGHPLO-UHFFFAOYSA-O,2,1,2,0.393939394,4,2,9,495,15,373,17,14,4,530.8532207,531,495,530.8532207
C[N+]1=C(C=CC=C2N(CCCCCC(O)=NCCCN=[N+]=N)c3ccc(S(=O)(=O)O)cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)O)ccc21,GYJILUBNEARHAE-UHFFFAOYSA-P,2,4,8,0.454545455,15,2,14,701,14,599,19,14,4,556.7925402,557,701,556.7925402
CC1(C)C(=CC=CC=CC2=[N+](CCCS(=O)(=O)[O-])c3ccc(S(=O)(=O)[O-])cc3C2(C)C)N(CCCCCC(=O)[O-])c2ccc(S(=O)(=O)O)cc21,KPBQEJDRGQDEFF-UHFFFAOYSA-L,2,1,11,0.411764706,16,2,15,749,17,257,20,16,6,692.2812794,692,749,692.2812794
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)Cc3cccc(S(=O)(=O)[O-])c3)cc2)cc1S(=O)(=O)[O-],DCTXQQVUQIODBO-UHFFFAOYSA-M,3,0,8,0.193548387,11,0,8,607,18,527,19,10,2,622.9273233,623,607,622.9273233
C[N+]1=C(C=CC=C2N(CCCCC(O)=NCCOCCOCCNCCO[C@H]3OC(CO)[C@@H](O)[C@H](O)C3O)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,SSFADTFCQMBTSO-IHRPVSEJSA-O,2,6,11,0.581395349,13,3,21,780,14,1601,28,14,4,547.9560321,548,780,547.9560321
CC1(C)C(=CC=CC2=[N+](CCCCCC(=O)ON3C(=O)CCC3=O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)N(CCCCCC(=O)ON2C(=O)CCC2=O)c2ccc(S(=O)(=O)[O-])cc21,OHOQEZWSNFNUSY-UHFFFAOYSA-M,2,0,15,0.465116279,20,4,18,910,22,400,20,14,4,568.9451784,569,910,568.9451784
CC1(C)C(=CC=CC2=[N+](CCCCCC(=O)ON3C(=O)CCC3=O)c3ccccc3C2(C)C)N(CCCS(=O)(=O)[O-])c2ccccc21,LMCRIEMWRAZMSJ-UHFFFAOYSA-N,2,0,8,0.444444444,11,3,13,662,17,406,20,14,4,560.1943444,560,662,560.1943444
C#CCN=C(O)CCCCCN1C(=CC=C2C=C(C=CC3=[N+](C)c4ccc(S(=O)(=O)O)cc4C3(C)C)CCC2)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21,MUENJVFYRXNHST-UHFFFAOYSA-N,2,2,7,0.4,12,2,12,746,19,684,24,18,3,751.1497379,751,746,751.1497379
CC1(C)C(=CC=CC2=[N+](CCCCS(=O)(=O)O)c3ccc([As]4SCCS4)cc3C2(C)C)N(CCCCS(=O)(=O)[O-])c2ccc([As]3SCCS3)cc21,UDHHTMYURAAYGN-UHFFFAOYSA-N,2,1,10,0.514285714,16,4,14,933,15,697,22,14,4,589.7724291,590,933,589.7724291
CC1(C)Oc2cc3c4c(c2O1)OC(C)(C)Oc1c2c(c5c6c1C1=NC6=NC6=NC(=Nc7c8ccccc8c(n7OC(C)(C)O5)NC3=NC4=N1)c1ccccc16)OC(C)(C)O2,SPGPMYDFYZWQDY-UHFFFAOYSA-N,5,1,16,0.272727273,16,9,0,803,32,243,18,14,0,637.609707,638,803,637.609707
